n,support_fake,support_real,accuracy,macro_f1,weighted_f1,fake_precision,fake_recall,fake_f1,real_precision,real_recall,real_f1,mcc,TP,TN,FP,FN,source_name,n_total,n_used_metrics,n_excluded_undefined,split,accuracy_ci_low,accuracy_ci_high,macro_f1_ci_low,macro_f1_ci_high,fake_f1_ci_low,fake_f1_ci_high,mcc_ci_low,mcc_ci_high
6281,2197,4084,0.8626014965769782,0.8466105651120599,0.8614897010461333,0.8244163424124513,0.7715065999089668,0.7970844110039972,0.8811834319526627,0.9116062683643487,0.8961367192201227,0.6942652848296229,1695,3723,361,502,classic_models::bertimbau_base__linearsvc,6281,6281,0,val,0.8543225601018946,0.8713580640025473,0.8376213311028697,0.8563443682443811,0.7843036927002165,0.8104095279485682,0.6763686884503564,0.7135509122317067
6281,2197,4084,0.8563922942206655,0.8354873011780065,0.8531057566811318,0.8509485094850948,0.7146108329540283,0.776843146956952,0.8586564472497745,0.932664054848188,0.894131455399061,0.6777237407339801,1570,3809,275,627,classic_models::albertina_ptbr_100m__gradient_boosting,6281,6281,0,val,0.8477909568540042,0.8651488616462347,0.8256536414489805,0.8454096800110117,0.7624112142057271,0.7908240407966088,0.6589095274314594,0.6972034248511143
6281,2197,4084,0.8557554529533514,0.8286791238137627,0.8491408911691507,0.9067422810333964,0.6549840691852526,0.7605708245243129,0.8385172560715808,0.9637610186092067,0.8967874231032126,0.679062351861504,1439,3936,148,758,classic_models::albertina_ptbr_100m__random_forest,6281,6281,0,val,0.8471580958446108,0.8645120203789206,0.818354171664058,0.8390640725392212,0.7449197244880357,0.7755453789714212,0.6604682419768698,0.6974569075764099
6281,2197,4084,0.7904792230536539,0.7583908774374888,0.7848437862088752,0.7454038997214485,0.6090122894856622,0.6703406813627254,0.8085153811859117,0.888099902056807,0.8464410735122521,0.5247475847200124,1338,3627,457,859,classic_models::albertina_ptbr_900m__decision_tree,6281,6281,0,val,0.780608183410285,0.8008318739054291,0.7471984277518207,0.7701712766109062,0.6537668712223245,0.68747162248416,0.5027893958738032,0.5476270485373906
6281,2197,4084,0.7802897627766279,0.7415031466557747,0.7715854913413684,0.7474258025439128,0.5616750113791534,0.6413721413721414,0.7920086393088553,0.8978942213516161,0.8416341519394078,0.4979030754582939,1234,3667,417,963,classic_models::bertimbau_base__decision_tree,6281,6281,0,val,0.7702595128164305,0.7906384333704825,0.7301857319855806,0.75349401004159,0.6241309819643558,0.6587826772096508,0.4762429211543774,0.5206900365175364
6281,2197,4084,0.7712147747174017,0.7359283216223131,0.764928991043233,0.7125279642058165,0.5798816568047337,0.6393977415307402,0.7945693300689962,0.8741429970617042,0.8324589017138859,0.47982775400108846,1274,3570,514,923,classic_models::bertimbau_large__decision_tree,6281,6281,0,val,0.7608661041235472,0.7817306161439261,0.7240521587769204,0.7476231500801791,0.6223219399890435,0.6567394222086997,0.45633931149531654,0.5028494263056914
6281,2197,4084,0.7587963700047763,0.7244332751052324,0.7536682435792809,0.6827438370846731,0.5798816568047337,0.6271228156534581,0.7909399773499434,0.8550440744368266,0.8217437345570067,0.45389126381796246,1274,3492,592,923,classic_models::albertina_ptbr_100m__decision_tree,6281,6281,0,val,0.7479660882025155,0.7691450405986308,0.7116932938370266,0.7355865998016232,0.6084100054403443,0.6440357395321311,0.42830064608612095,0.4763915999095074
5767,3807,1960,0.6892665163863361,0.6290833810686686,0.6769345437599005,0.7352323137987392,0.8271604938271605,0.7784919653893696,0.5566037735849056,0.42142857142857143,0.4796747967479675,0.269345985993091,3149,826,1134,658,zero_shot::gemma2:9b,5767,5767,0,val,0.6772975550546212,0.7012311427085139,0.6158921168310717,0.6428262482924613,0.7683997785778746,0.7884782587239241,0.2427671958674885,0.2959757879522128
5767,3807,1960,0.6670712675567886,0.6125700321766623,0.6591089973856744,0.7288382245937424,0.7893354347255056,0.7578814627994955,0.5121654501216545,0.42959183673469387,0.4672586015538291,0.2297004068723504,3005,842,1118,802,zero_shot::qwen2.5:7b,5767,5767,0,val,0.654759840471649,0.6795560950234091,0.5995074410745369,0.6261292218014289,0.7472146375302923,0.7684024971409372,0.2033569137646344,0.2569538967797366
6281,2197,4084,0.6408215252348353,0.6011457330563578,0.6389388778523127,0.48597242035187826,0.4651797906235776,0.4753488372093023,0.718764959310675,0.7353085210577864,0.7269426289034132,0.20260170677122083,1022,3003,1081,1175,classic_models::bertimbau_base__gaussian_nb,6281,6281,0,val,0.6295136124820888,0.6522886483044101,0.5890029744494016,0.6136837687142662,0.45695333073626804,0.4944096198883704,0.17858581256256695,0.22770254773441476
